Generated Code:
Line    OP    L    M
  0    JMP    0    3
  1    JMP    0    0
  2    JMP    0    0
  3    JMP    0    0
  4    JMP    0    0
  5    INC    0    5
  6    LIT    0    1
  7    STO    0    4
  8    LOD    0    5
  9    LOD    0    4
 10    OPR    0    1
 11    LOD    3    7
 12    OPR    0    1
 13    STO    0    3
 14    OPR    0    0
 15    INC    0    6
 16    LOD    1    3
 17    LOD    1    5
 18    OPR    0    1
 19    LOD    2    7
 20    OPR    0    1
 21    STO    0   15
 22    CAL    0    4
 23    OPR    0    0
 24    INC    0    7
 25    LIT    0    2
 26    STO    0    5
 27    LOD    1    5
 28    LOD    1    7
 29    OPR    0    1
 30    STO    0    5
 31    CAL    0    3
 32    OPR    0    0
 33    INC    0    8
 34    LIT    0    1
 35    STO    0   33
 36    LIT    0    2
 37    STO    0    4
 38    LIT    0    3
 39    STO    0    5
 40    LIT    0    4
 41    STO    0    6
 42    LIT    0    5
 43    STO    0    7
 44    LOD    0    6
 45    LOD    0    7
 46    OPR    0    1
 47    STO    0   33
 48    LOD    0    5
 49    SYS    0    1
 50    CAL    0    2
 51    OPR    0    0
 52    SYS    0    3
